State,Students_Appeared,Students_Qualified,Latitude,Longitude,Year,Pass_Percentage,Level,Literacy_Rate
Puducherry,178,174,11.9416,79.8083,2024,99.45,12,85.8
Punjab,2483,2469,31.1471,75.3412,2024,99.22,12,75.8
Rajasthan,4083,4066,27.0238,74.2179,2024,99.27,12,66.1
Sikkim,74,74,27.533,88.5122,2024,100.0,12,81.4
Tamil Nadu,3134,3062,11.1271,78.6569,2024,98.75,12,80.1
Telangana,1064,1064,18.1124,79.0193,2024,99.83,12,
Tripura,355,331,23.9408,91.9882,2024,99.4,12,87.2
Uttar Pradesh,10359,10291,26.8467,80.9462,2024,98.54,12,67.7
Uttarakhand,3200,3173,30.0668,79.0193,2024,99.77,12,78.8
West Bengal,4956,4867,22.9868,87.855,2024,97.24,12,76.3
KVS (HQ),132,132,,,2024,100.0,12,
Andaman and Nicobar Islands,231,231,11.7401,92.6586,2023,96.69,12,
Andhra Pradesh,821,820,15.9129,79.74,2023,99.57,12,67
Arunachal Pradesh,3267,3246,28.218,94.7278,2023,97.69,12,65.4
Assam,479,467,26.2006,92.9376,2023,96.74,12,72.2
Bihar,2031,2026,25.0961,85.3131,2023,92.51,12,61.8
Chandigarh,615,605,30.7333,76.7794,2023,95.35,12,86
Chhattisgarh,2046,2019,21.2787,81.8661,2023,83.94,12,70.3
Dadra and Nagar Haveli and Daman and Diu,97,97,20.3974,72.8328,2023,87.84,12,
Delhi,8071,7499,28.7041,77.1025,2023,95.29,12,86.2
Goa,240,240,15.2993,74.124,2023,95.41,12,88.7
Gujarat,2034,1997,22.2587,71.1924,2023,89.43,12,78
Haryana,2108,2102,29.0588,76.0856,2023,95.31,12,75.6
Himachal Pradesh,940,933,31.1048,77.1734,2023,99.14,12,82.8
Jammu and Kashmir,1451,1449,33.7782,76.5762,2023,96.88,12,
Jharkhand,1696,1694,23.6102,85.2799,2023,91.99,12,66.4
Karnataka,1824,1811,15.3173,75.7139,2023,95.61,12,75.4
Kerala,3303,3300,10.8505,76.2711,2023,99.89,12,94
Ladakh,118,118,34.1526,77.5771,2023,100.0,12,
Lakshadweep,12,12,10.5667,72.6417,2023,100.0,12,91.8
Madhya Pradesh,5403,5361,22.9734,78.6569,2023,86.98,12,69.3
Maharashtra,2869,2844,19.7515,75.7139,2023,85.21,12,82.3
Manipur,336,332,24.6637,93.9063,2023,100.0,12,
Meghalaya,324,321,25.467,91.3662,2023,99.38,12,74.4
Mizoram,114,114,23.1645,92.9376,2023,100.0,12,91.3
Nagaland,101,100,26.1584,94.5624,2023,98.17,12,79.6
Odisha,3033,2943,20.9517,85.0985,2023,91.83,12,72.9
Puducherry,178,174,11.9416,79.8083,2023,94.55,12,85.8
Punjab,2483,2469,31.1471,75.3412,2023,95.36,12,75.8
Rajasthan,4083,4066,27.0238,74.2179,2023,93.62,12,66.1
Sikkim,74,74,27.533,88.5122,2023,96.52,12,81.4
Tamil Nadu,3134,3062,11.1271,78.6569,2023,95.28,12,80.1
Telangana,1064,1064,18.1124,79.0193,2023,99.02,12,
Tripura,355,331,23.9408,91.9882,2023,95.54,12,87.2
Uttar Pradesh,10359,10291,26.8467,80.9462,2023,89.32,12,67.7
Uttarakhand,3200,3173,30.0668,79.0193,2023,95.81,12,78.8
West Bengal,4956,4867,22.9868,87.855,2023,89.54,12,76.3
KVS (HQ),132,132,,,2023,97.98,12,
Andaman and Nicobar Islands,231,231,11.7401,92.6586,2022,99.29,12,
Andhra Pradesh,821,820,15.9129,79.74,2022,99.62,12,67
Arunachal Pradesh,3267,3246,28.218,94.7278,2022,97.16,12,65.4
Assam,479,467,26.2006,92.9376,2022,98.8,12,72.2
Bihar,2031,2026,25.0961,85.3131,2022,98.39,12,61.8
Chandigarh,615,605,30.7333,76.7794,2022,97.64,12,86
Chhattisgarh,2046,2019,21.2787,81.8661,2022,92.89,12,70.3
Dadra and Nagar Haveli and Daman and Diu,97,97,20.3974,72.8328,2022,99.3,12,
Delhi,8071,7499,28.7041,77.1025,2022,99.53,12,86.2
Goa,240,240,15.2993,74.124,2022,95.49,12,88.7
Gujarat,2034,1997,22.2587,71.1924,2022,95.91,12,78
Haryana,2108,2102,29.0588,76.0856,2022,97.51,12,75.6
Himachal Pradesh,940,933,31.1048,77.1734,2022,95.58,12,82.8
Jammu and Kashmir,1451,1449,33.7782,76.5762,2022,99.08,12,
Jharkhand,1696,1694,23.6102,85.2799,2022,97.3,12,66.4
Karnataka,1824,1811,15.3173,75.7139,2022,97.71,12,75.4
Kerala,3303,3300,10.8505,76.2711,2022,99.18,12,94
Ladakh,118,118,34.1526,77.5771,2022,100.0,12,
Lakshadweep,12,12,10.5667,72.6417,2022,100.0,12,91.8
Madhya Pradesh,5403,5361,22.9734,78.6569,2022,95.55,12,69.3
Maharashtra,2869,2844,19.7515,75.7139,2022,87.87,12,82.3
Manipur,336,332,24.6637,93.9063,2022,100.0,12,
Meghalaya,324,321,25.467,91.3662,2022,99.73,12,74.4
Mizoram,114,114,23.1645,92.9376,2022,100.0,12,91.3
Nagaland,101,100,26.1584,94.5624,2022,99.4,12,79.6
Odisha,3033,2943,20.9517,85.0985,2022,97.54,12,72.9
Puducherry,178,174,11.9416,79.8083,2022,99.02,12,85.8
Punjab,2483,2469,31.1471,75.3412,2022,98.87,12,75.8
Rajasthan,4083,4066,27.0238,74.2179,2022,99.08,12,66.1
Sikkim,74,74,27.533,88.5122,2022,98.97,12,81.4
Tamil Nadu,3134,3062,11.1271,78.6569,2022,96.89,12,80.1
Telangana,1064,1064,18.1124,79.0193,2022,99.43,12,
Tripura,355,331,23.9408,91.9882,2022,98.42,12,87.2
Uttar Pradesh,10359,10291,26.8467,80.9462,2022,96.61,12,67.7
Uttarakhand,3200,3173,30.0668,79.0193,2022,97.27,12,78.8
West Bengal,4956,4867,22.9868,87.855,2022,96.3,12,76.3
KVS (HQ),132,132,,,2022,99.32,12,
Andaman and Nicobar Islands,231,231,11.7401,92.6586,2021,100.0,12,
Andhra Pradesh,821,820,15.9129,79.74,2021,100.0,12,67
Arunachal Pradesh,3267,3246,28.218,94.7278,2021,100.0,12,65.4
Assam,479,467,26.2006,92.9376,2021,100.0,12,72.2
Bihar,2031,2026,25.0961,85.3131,2021,100.0,12,61.8
Chandigarh,615,605,30.7333,76.7794,2021,100.0,12,86
Chhattisgarh,2046,2019,21.2787,81.8661,2021,100.0,12,70.3
Dadra and Nagar Haveli and Daman and Diu,97,97,20.3974,72.8328,2021,100.0,12,
Delhi,8071,7499,28.7041,77.1025,2021,99.98,12,86.2
Goa,240,240,15.2993,74.124,2021,100.0,12,88.7
Gujarat,2034,1997,22.2587,71.1924,2021,99.92,12,78
Haryana,2108,2102,29.0588,76.0856,2021,100.0,12,75.6
Himachal Pradesh,940,933,31.1048,77.1734,2021,100.0,12,82.8
Jammu and Kashmir,1451,1449,33.7782,76.5762,2021,100.0,12,
Jharkhand,1696,1694,23.6102,85.2799,2021,100.0,12,66.4
Karnataka,1824,1811,15.3173,75.7139,2021,100.0,12,75.4
Kerala,3303,3300,10.8505,76.2711,2021,100.0,12,94
Ladakh,118,118,34.1526,77.5771,2021,100.0,12,
Lakshadweep,12,12,10.5667,72.6417,2021,100.0,12,91.8
Madhya Pradesh,5403,5361,22.9734,78.6569,2021,100.0,12,69.3
Maharashtra,2869,2844,19.7515,75.7139,2021,100.0,12,82.3
Manipur,336,332,24.6637,93.9063,2021,100.0,12,
Meghalaya,324,321,25.467,91.3662,2021,100.0,12,74.4
Mizoram,114,114,23.1645,92.9376,2021,100.0,12,91.3
Nagaland,101,100,26.1584,94.5624,2021,99.46,12,79.6
Odisha,3033,2943,20.9517,85.0985,2021,100.0,12,72.9
Puducherry,178,174,11.9416,79.8083,2021,100.0,12,85.8
Punjab,2483,2469,31.1471,75.3412,2021,100.0,12,75.8
Rajasthan,4083,4066,27.0238,74.2179,2021,100.0,12,66.1
Sikkim,74,74,27.533,88.5122,2021,100.0,12,81.4
Tamil Nadu,3134,3062,11.1271,78.6569,2021,100.0,12,80.1
Telangana,1064,1064,18.1124,79.0193,2021,100.0,12,
Tripura,355,331,23.9408,91.9882,2021,100.0,12,87.2
Uttar Pradesh,10359,10291,26.8467,80.9462,2021,100.0,12,67.7
Uttarakhand,3200,3173,30.0668,79.0193,2021,100.0,12,78.8
West Bengal,4956,4867,22.9868,87.855,2021,100.0,12,76.3
KVS (HQ),132,132,,,2021,100.0,12,
